age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,high_income
age3,State-gov,college,high-education,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
age5,Self-emp-not-inc,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Handlers-cleaners,Not-in-family,White,Male,full-time,United-States,<=50K
age5,Private,pre-college,some-education,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Married-civ-spouse,Prof-specialty,Wife,Black,Female,full-time,Cuba,<=50K
age3,Private,college,high-education,Married-civ-spouse,Exec-managerial,Wife,White,Female,full-time,United-States,<=50K
age4,Private,pre-college,some-education,Married-spouse-absent,Other-service,Not-in-family,Black,Female,part-time,Jamaica,<=50K
age5,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age2,Private,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Female,extra-time,United-States,>50K
age4,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,Black,Male,excessive-time,United-States,>50K
age2,State-gov,college,high-education,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,full-time,India,>50K
age1,Private,college,high-education,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Sales,Not-in-family,Black,Male,extra-time,United-States,<=50K
age3,Private,pre-college,low-education,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,full-time,Mexico,<=50K
age1,Self-emp-not-inc,somecollege,average-education,Never-married,Farming-fishing,Own-child,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Machine-op-inspct,Unmarried,White,Male,full-time,United-States,<=50K
age3,Private,pre-college,some-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,<=50K
age4,Self-emp-not-inc,college,high-education,Divorced,Exec-managerial,Unmarried,White,Female,full-time,United-States,>50K
age3,Private,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,>50K
age5,Private,somecollege,average-education,Separated,Other-service,Unmarried,Black,Female,part-time,United-States,<=50K
age3,Federal-gov,pre-college,some-education,Married-civ-spouse,Farming-fishing,Husband,Black,Male,full-time,United-States,<=50K
age4,Private,pre-college,some-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age6,Private,somecollege,average-education,Divorced,Tech-support,Unmarried,White,Female,full-time,United-States,<=50K
age5,Local-gov,college,high-education,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Craft-repair,Own-child,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Exec-managerial,Not-in-family,White,Male,excessive-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age1,Local-gov,somecollege,average-education,Never-married,Protective-serv,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Own-child,Black,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Divorced,Exec-managerial,Own-child,White,Male,full-time,United-States,<=50K
age2,Federal-gov,somecollege,average-education,Married-civ-spouse,Adm-clerical,Own-child,White,Male,full-time,United-States,<=50K
age1,State-gov,somecollege,average-education,Married-civ-spouse,Other-service,Husband,Black,Male,part-time,United-States,<=50K
age4,Private,pre-college,some-education,Never-married,Machine-op-inspct,Unmarried,White,Male,full-time,Puerto-Rico,<=50K
age1,Private,somecollege,average-education,Never-married,Machine-op-inspct,Own-child,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-AF-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,<=50K
age4,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
age2,Private,pre-college,some-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
age5,Self-emp-not-inc,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
age1,Private,college,high-education,Married-civ-spouse,Tech-support,Husband,White,Male,extra-time,United-States,<=50K
age4,Private,somecollege,average-education,Separated,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Not-in-family,White,Male,part-time,United-States,<=50K
age5,Federal-gov,college,high-education,Married-civ-spouse,Prof-specialty,Husband,Black,Male,full-time,United-States,>50K
age5,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Divorced,Exec-managerial,Unmarried,White,Female,full-time,United-States,<=50K
age3,State-gov,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Wife,Other,Female,full-time,United-States,<=50K
age4,Private,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Wife,White,Female,extra-time,Honduras,>50K
age5,Federal-gov,college,high-education,Divorced,Exec-managerial,Not-in-family,White,Male,extra-time,United-States,>50K
age4,Self-emp-inc,somecollege,average-education,Divorced,Exec-managerial,Not-in-family,White,Male,extra-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,United-States,>50K
age4,Private,pre-college,low-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,Mexico,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Other-service,Husband,White,Male,full-time,Puerto-Rico,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age4,Private,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Divorced,Tech-support,Not-in-family,White,Male,extra-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,full-time,United-States,>50K
age4,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Prof-specialty,Own-child,White,Male,part-time,United-States,<=50K
age2,Private,college,high-education,Separated,Sales,Own-child,Black,Female,full-time,United-States,<=50K
age2,Self-emp-not-inc,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,excessive-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Machine-op-inspct,Not-in-family,White,Male,full-time,United-States,<=50K
age8,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Male,full-time,Mexico,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
age2,Local-gov,pre-college,low-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Not-in-family,White,Male,part-time,United-States,<=50K
age5,Private,college,high-education,Married-civ-spouse,Other-service,Husband,White,Male,full-time,Cuba,<=50K
